name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,mood
Who's Laughing Now,Ava Max,73h4oe03sZy8bXfQLfnqMv,0.648,0.641,0.589171618,0.0389,0.00565,184.021,0.109,0.505,1
,,,,,,,,,,,
Holy (feat. Chance The Rapper),Justin Bieber,5u1n1kITHCxxp8twBcZxWy,0.673,0.704,0.305010649,0.36,0.196,86.919,0.0898,0.372,1
,,,,,,,,,,,
My Love,Anna of the North,3akpDdQJUVckqG4r1bmR25,0.674,0.698,0.493890819,0.0288,0.636,105.975,0.172,0.45,1
,,,,,,,,,,,
Savage Love (Laxed - Siren Beat),Jawsh 685,5T490vvoFNU6psep0NPmxs,0.795,0.48,0.248963121,0.0688,0.243,149.919,0.271,0.723,1
,,,,,,,,,,,
Dancing in the Moonlight (feat. NEIMY),Jubël,5ow0sNF1zSqp71Ix5jEXWU,0.659,0.617,0.550947203,0.0649,0.27,119.858,0.187,0.187,1
,,,,,,,,,,,
So Far Away,Surfaces,6cjrJbXoA0VscOXEPgLdYv,0.714,0.68,0.611590629,0.132,0.149,160.021,0.098,0.672,1
,,,,,,,,,,,
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,0.661248739,0.102,0.216,124.111,0.0608,0.479,1
,,,,,,,,,,,
Perfect (feat. Haris),Lucas & Steve,30cW9fD87IgbYFl8o0lUze,0.751,0.657,0.687703172,0.0989,0.0955,118.029,0.0945,0.532,1
,,,,,,,,,,,
"Let Me Move You - From the Netflix film ""Work It""",Sabrina Carpenter,0roOLcll6SSTYZwsQFmXqP,0.624,0.628,0.470238762,0.0408,0.0112,114.556,0.0814,0.772,1
,,,,,,,,,,,
Put Your Records On,Ritt Momney,1fah1uAs7HeTYDlNftKr3K,0.399,0.492,0,0.0538,0.058,91.066,0.11,0.159,1
,,,,,,,,,,,
Ooh Girl (feat. A Boogie Wit da Hoodie),Kris Kross Amsterdam,1mKNyZCNDueEASgBgZuLdA,0.726,0.781,0.728729963,0.0525,0.139,104.976,0.274,0.579,1
,,,,,,,,,,,
Never Seen the Rain,Tones And I,2grAr8pWMuLWn8ZYEE9wDV,0.491,0.461,0.575159735,0.0424,0.44,87.808,0.232,0.32,1
,,,,,,,,,,,
Trompeta,Willy William,1xyz2xqqpnhT3k1ApFPu6S,0.64,0.862,0.774801031,0.0319,0.0157,128.034,0.273,0.366,1
,,,,,,,,,,,
Little Bit Of Love - Indian Summer Remix,JP Cooper,4WEojtwHd0MUF3sPz5ITAj,0.708,0.758,0.708889138,0.0367,0.0133,101.017,0.418,0.272,1
,,,,,,,,,,,
Sixteen,Ellie Goulding,4PkIDTPGedm0enzdvilLNd,0.669,0.801,0.597690842,0.136,0.268,109.919,0.0594,0.541,1
,,,,,,,,,,,
Take Me To The Sunshine (feat. BullySongs),Matoma,4peF3yGZAZfeOFDahi6Ig5,0.686,0.814,0.547027561,0.036,0.00896,123.002,0.187,0.48,1
,,,,,,,,,,,
Carry Us,LP Giobbi,40U8KhwvDcaoBFYV4hKfRn,0.728,0.947,0.782103572,0.0828,0.0177,125.874,0.0987,0.553,1
,,,,,,,,,,,
Where Did You Go?,Jax Jones,26KOUSe9W0ZsTxMgNfbmq1,0.774,0.784,0.741441107,0.0351,0.194,127.042,0.293,0.533,1
,,,,,,,,,,,
Higher Love,Ali Story,2yCyr5ZJHDm9CzpPRdduJ9,0.56,0.867,0.626004202,0.226,0.0371,123.902,0.494,0.493,1
,,,,,,,,,,,
Midnight Rapture,Anabel Englund,1c5sVhqoQvLHTXTYJTb98i,0.689,0.897,0.47521938,0.0436,0.00074,117.984,0.224,0.33,1
,,,,,,,,,,,
Better Than This,John Summit,5OLSGox6JVpAyEQuoSYRcs,0.673,0.839,0.464837474,0.0373,0.0177,125.03,0.126,0.24,1
,,,,,,,,,,,
Reaching Out,Dillon Francis,7KTcpv7wPJ4r6lR5SLzurh,0.782,0.748,0.76974416,0.0523,0.0629,123.937,0.1,0.571,1
,,,,,,,,,,,
Real Love x Sunchyme (feat. Jess Glynne) [VIP Mash-up],Clean Bandit,17fPLuA4TttWwfNcf833J1,0.598,0.833,0.520949203,0.0497,0.0172,125.004,0.544,0.464,1
,,,,,,,,,,,
Silver and Gold (feat. Sam Fischer & Pink Sweat$),Yung Bae,0xHeGspdxuVIm49iNXDO2u,0.652,0.797,0.712890866,0.0505,0.168,107.002,0.339,0.358,1
,,,,,,,,,,,
Ask Me,Duck Sauce,05QGJav2nGJ9qdQ3vG9A9t,0.803,0.935,0.696205661,0.032,0.0145,124.008,0.296,0.738,1
,,,,,,,,,,,
Burning My Bridges,CLMD,1gRBmiwyf7vRj2MNRvngqQ,0.853,0.804,0.706834755,0.0497,0.0323,120.03,0.177,0.29,1
,,,,,,,,,,,
By Your Side (feat. Tom Grennan),Calvin Harris,0vR2rIVORmgeKiGIgNT0fV,0.733,0.96,0.859102707,0.0295,0.0514,124.01,0.287,0.811,1
,,,,,,,,,,,
Shackles (Praise You),MALARKEY,4xWyU0pUsm25vh4v4omUkC,0.657,0.816,0.708070696,0.168,0.101,120.092,0.137,0.584,1
,,,,,,,,,,,
